symbol,period,item_code,item_name_tr,item_name_en,value
ORGE,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
ORGE,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,32478642.0
ORGE,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,32478645.0
ORGE,2020/12,2OA,Ödenmiş Sermaye,Share Capital,6727031.0
ORGE,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
ORGE,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,282325.0
ORGE,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
ORGE,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
ORGE,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,498088.0
ORGE,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),17628146.0
ORGE,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),7342976.0
ORGE,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,79.0
ORGE,2020/12,2ODA,Azınlık Payları,Minority Interests,-3.0
ORGE,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,53641855.0
ORGE,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
ORGE,2020/12,3C,Satış Gelirleri,Net Sales,23486671.0
ORGE,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-14326076.0
ORGE,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
ORGE,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,9160596.0
ORGE,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
ORGE,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
ORGE,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
ORGE,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
ORGE,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
ORGE,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),9160596.0
ORGE,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),0.0
ORGE,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-986782.0
ORGE,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
ORGE,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,1409328.0
ORGE,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-972690.0
ORGE,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
ORGE,2020/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,8610452.0
ORGE,2020/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,8173814.0
ORGE,2020/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,631344.0
ORGE,2020/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,-134996.0
ORGE,2020/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
ORGE,2020/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
ORGE,2020/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,9106800.0
ORGE,2020/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),1838898.0
ORGE,2020/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-1647986.0
ORGE,2020/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,496348.0
ORGE,2020/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,9297713.0
ORGE,2020/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-1531396.0
ORGE,2020/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-577514.0
ORGE,2020/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-953882.0
ORGE,2020/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
ORGE,2020/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,7766316.0
ORGE,2020/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
ORGE,2020/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
ORGE,2020/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,7766316.0
ORGE,2020/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
ORGE,2020/12,3LB,Azınlık Payları,Minority Interests,0.0
ORGE,2020/12,3Z,Ana Ortaklık Payları,Parent Shares,7766317.0
ORGE,2020/12,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
ORGE,2020/12,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
ORGE,2020/12,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
ORGE,2020/12,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
ORGE,2020/12,4B,Amortisman Giderleri,Depreciation & Amortization,166311.0
ORGE,2020/12,4BA,Kıdem Tazminatı,Severance Payments,82634.0
ORGE,2020/12,4BB,Finansman Giderleri,Financial Expenses,-1647986.0
ORGE,2020/12,4BC,Yurtiçi Satışlar,Domestic Sales,0.0
ORGE,2020/12,4BD,Yurtdışı Satışlar,Export Sales,0.0
ORGE,2020/12,4BE,Net Yabancı Para Pozisyonu,Net Fx Position,8468467.0
ORGE,2020/12,4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,8468467.0
ORGE,2020/12,4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),8468467.0
ORGE,2020/12,4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,1433260.0
ORGE,2020/12,4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,7766317.0
ORGE,2020/12,4CAA,Düzeltmeler:,Adjustments:,1314189.0
ORGE,2020/12,4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,166311.0
ORGE,2020/12,4CAC,Karşılıklardaki Değişim,Change in Provisions,29656.0
ORGE,2020/12,4CAD,Diğer Gelir/ Gider,Other Income / Expense,1118222.0
ORGE,2020/12,4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),9080506.0
ORGE,2020/12,4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,-7239588.0
ORGE,2020/12,4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),1840918.0
ORGE,2020/12,4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-407657.0
ORGE,2020/12,4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-82917.0
ORGE,2020/12,4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,1282098.0
ORGE,2020/12,4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,1199180.0
ORGE,2020/12,4CB,Serbest Nakit Akım,Free Cash Flow,2632441.0
ORGE,2020/12,4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,5064435.0
ORGE,2020/12,4CBB,Temettü Ödemeleri,Dividends Paid,0.0
ORGE,2020/12,4CBC,Sermaye Artırımı,Rights Issue,0.0
ORGE,2020/12,4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-1002627.0
ORGE,2020/12,4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,4061808.0
ORGE,2020/12,4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,6694249.0
ORGE,2020/12,4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0.0
ORGE,2020/12,4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0.0
ORGE,2020/12,4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,6694249.0
ORGE,2020/12,4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0.0
ORGE,2020/12,4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,4908487.0
ORGE,2020/12,4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,11602736.0
ORGE,2020/3,1A,Dönen Varlıklar,CURRENT ASSETS,38970125.0
ORGE,2020/3,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,6825535.0
ORGE,2020/3,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
ORGE,2020/3,1AC,Ticari Alacaklar,Short-Term Trade Receivables,3522965.0
ORGE,2020/3,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
ORGE,2020/3,1AE,Diğer Alacaklar,Short-Term Other Receivables,12207.0
ORGE,2020/3,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,26205148.0
ORGE,2020/3,1AF,Stoklar,Inventories,1676964.0
ORGE,2020/3,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
ORGE,2020/3,1AH,Diğer Dönen Varlıklar,Other Current Assets,727307.0
ORGE,2020/3,1AI,(Ara Toplam),(Subtotal),38970125.0
ORGE,2020/3,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
ORGE,2020/3,1AK,Duran Varlıklar,LONG TERM ASSETS,8391552.0
ORGE,2020/3,1B,Ticari Alacaklar,Trade Receivables,0.0
ORGE,2020/3,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
ORGE,2020/3,1BB,Diğer Alacaklar,Other Receivables,6449.0
ORGE,2020/3,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ORGE,2020/3,1BC,Finansal Yatırımlar,Financial Investments,0.0
ORGE,2020/3,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
ORGE,2020/3,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
ORGE,2020/3,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,5093064.0
ORGE,2020/3,1BFA,Stoklar,Stoklar,0.0
ORGE,2020/3,1BFAA,Kullanım Hakkı Varlıkları,nan,40695.0
ORGE,2020/3,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,2593338.0
ORGE,2020/3,1BGA,Şerefiye,Goodwill,0.0
ORGE,2020/3,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,7386.0
ORGE,2020/3,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
ORGE,2020/3,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,650621.0
ORGE,2020/3,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,47361677.0
ORGE,2020/3,1BM,KAYNAKLAR,LIABILITIES,0.0
ORGE,2020/3,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,12379972.0
ORGE,2020/3,2AA,Finansal Borçlar,Short-Term Financial Loans,7714846.0
ORGE,2020/3,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ORGE,2020/3,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,2037439.0
ORGE,2020/3,2AAGAB,Diğer Borçlar,Other Short-Term Loans,458454.0
ORGE,2020/3,2AAGAC,Müşteri Söz. Doğan Yük.,nan,1696440.0
ORGE,2020/3,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
ORGE,2020/3,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
ORGE,2020/3,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,0.0
ORGE,2020/3,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
ORGE,2020/3,2AAGE,Borç Karşılıkları,Short-Term Provisions,71376.0
ORGE,2020/3,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,401418.0
ORGE,2020/3,2AAGG,(Ara Toplam),(Subtotal),12379972.0
ORGE,2020/3,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
ORGE,2020/3,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,5746547.0
ORGE,2020/3,2BA,Finansal Borçlar,Long-Term Financial Loans,892064.0
ORGE,2020/3,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ORGE,2020/3,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
ORGE,2020/3,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
ORGE,2020/3,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
ORGE,2020/3,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
ORGE,2020/3,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
ORGE,2020/3,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
ORGE,2020/3,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,167157.0
ORGE,2020/3,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
ORGE,2020/3,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,4687325.0
ORGE,2020/3,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
ORGE,2020/3,2N,Özkaynaklar,SHAREHOLDERS EQUITY,29235157.0
ORGE,2020/3,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,29235161.0
ORGE,2020/3,2OA,Ödenmiş Sermaye,Share Capital,7597052.0
ORGE,2020/3,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
ORGE,2020/3,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
ORGE,2020/3,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
ORGE,2020/3,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
ORGE,2020/3,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,563103.0
ORGE,2020/3,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),19907437.0
ORGE,2020/3,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),1173409.0
ORGE,2020/3,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,-5840.0
ORGE,2020/3,2ODA,Azınlık Payları,Minority Interests,-3.0
ORGE,2020/3,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,47361677.0
ORGE,2020/3,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
ORGE,2020/3,3C,Satış Gelirleri,Net Sales,5038745.0
ORGE,2020/3,3CA,Satışların Maliyeti (-),Cost Of Sales,-3417212.0
ORGE,2020/3,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
ORGE,2020/3,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,1621533.0
ORGE,2020/3,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
ORGE,2020/3,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
ORGE,2020/3,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
ORGE,2020/3,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
ORGE,2020/3,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
ORGE,2020/3,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),1621533.0
ORGE,2020/3,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),0.0
ORGE,2020/3,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-291670.0
ORGE,2020/3,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
ORGE,2020/3,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,329347.0
ORGE,2020/3,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-133367.0
ORGE,2020/3,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
ORGE,2020/3,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,1525843.0
ORGE,2020/3,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,1329864.0
ORGE,2020/3,3HA,Yatırım Faaliyetlerinden Gelirler,nan,128189.0
ORGE,2020/3,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,-70541.0
ORGE,2020/3,3HAB,Diğer Gelir ve Giderler,nan,0.0
ORGE,2020/3,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
ORGE,2020/3,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,1583491.0
ORGE,2020/3,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),365730.0
ORGE,2020/3,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-318841.0
ORGE,2020/3,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,57648.0
ORGE,2020/3,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,1630380.0
ORGE,2020/3,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-367391.0
ORGE,2020/3,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-70998.0
ORGE,2020/3,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-296393.0
ORGE,2020/3,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
ORGE,2020/3,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,1262989.0
ORGE,2020/3,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
ORGE,2020/3,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
ORGE,2020/3,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,1262989.0
ORGE,2020/3,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
ORGE,2020/3,3LB,Azınlık Payları,Minority Interests,0.0
ORGE,2020/3,3Z,Ana Ortaklık Payları,Parent Shares,1262990.0
ORGE,2020/3,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
ORGE,2020/3,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
ORGE,2020/3,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
ORGE,2020/3,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
ORGE,2020/3,4B,Amortisman Giderleri,Depreciation & Amortization,49749.0
ORGE,2020/3,4BA,Kıdem Tazminatı,Severance Payments,10418.0
ORGE,2020/3,4BB,Finansman Giderleri,Financial Expenses,-318841.0
ORGE,2020/3,4BC,Yurtiçi Satışlar,Domestic Sales,0.0
ORGE,2020/3,4BD,Yurtdışı Satışlar,Export Sales,0.0
ORGE,2020/3,4BE,Net Yabancı Para Pozisyonu,Net Fx Position,5210410.0
ORGE,2020/3,4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,5210410.0
ORGE,2020/3,4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),5210410.0
ORGE,2020/3,4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,-390222.0
ORGE,2020/3,4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,1262989.0
ORGE,2020/3,4CAA,Düzeltmeler:,Adjustments:,425069.0
ORGE,2020/3,4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,49749.0
ORGE,2020/3,4CAC,Karşılıklardaki Değişim,Change in Provisions,10418.0
ORGE,2020/3,4CAD,Diğer Gelir/ Gider,Other Income / Expense,364902.0
